	Length [in]	Value [psi]	
1	0.	-6530.1	
2	1.8865e-002	-6258.	
3	3.773e-002	-5985.9	
4	5.6594e-002	-5713.8	
5	7.5459e-002	-5441.7	
6	9.4324e-002	-5169.6	
7	0.11319	-4897.5	
8	0.13205	-4625.5	
9	0.15092	-4353.4	
10	0.16978	-4081.3	
11	0.18865	-3809.2	
12	0.20751	-3537.1	
13	0.22638	-3265.	
14	0.24524	-2992.9	
15	0.26411	-2720.9	
16	0.28297	-2448.8	
17	0.30184	-2176.7	
18	0.3207	-1904.6	
19	0.33957	-1632.5	
20	0.35843	-1360.4	
21	0.3773	-1088.3	
22	0.39616	-816.26	
23	0.41503	-544.17	
24	0.43389	-272.09	
25	0.45276	-1.3015e-005	
26	0.47162	272.09	
27	0.49049	544.17	
28	0.50935	816.26	
29	0.52822	1088.3	
30	0.54708	1360.4	
31	0.56594	1632.5	
32	0.58481	1904.6	
33	0.60367	2176.7	
34	0.62254	2448.8	
35	0.6414	2720.9	
36	0.66027	2992.9	
37	0.67913	3265.	
38	0.698	3537.1	
39	0.71686	3809.2	
40	0.73573	4081.3	
41	0.75459	4353.4	
42	0.77346	4625.5	
43	0.79232	4897.5	
44	0.81119	5169.6	
45	0.83005	5441.7	
46	0.84892	5713.8	
47	0.86778	5985.9	
48	0.88665	6258.	
49	0.90551	6530.1	
